"Inoculum","Carbon_Source","Family","Replicate","sum_relab","Family_type"
1,"glucose_glycerol","Pseudomonadaceae",2,0.000185546,"Other"
1,"glucose_glycerol","Moraxellaceae",3,0.000185546,"Other"
1,"glucose_glycerol","Pseudomonadaceae",3,0.00092773,"Other"
1,"glucose_glycerol","Oxalobacteraceae",4,9.28e-05,"Other"
1,"glucose_glycerol","Pseudomonadaceae",4,0.001577141,"Other"
1,"glucose_glycine","Alcaligenaceae",1,0.000463865,"Other"
1,"glucose_glycine","Comamonadaceae",1,0.003896465,"Other"
1,"glucose_glycine","Moraxellaceae",1,9.28e-05,"Other"
1,"glucose_glycine","Oxalobacteraceae",1,9.28e-05,"Other"
1,"glucose_glycine","Paenibacillaceae",1,0.004082011,"Other"
1,"glucose_glycine","Comamonadaceae",2,9.28e-05,"Other"
1,"glucose_glycine","Flavobacteriaceae",2,9.28e-05,"Other"
1,"glucose_glycine","Moraxellaceae",2,9.28e-05,"Other"
1,"glucose_glycine","Pseudomonadaceae",2,0.001298822,"Other"
1,"glucose_glycine","Rhizobiaceae",2,0.000371092,"Other"
1,"glucose_glycine","Sphingobacteriaceae",2,0.000185546,"Other"
1,"glucose_glycine","Xanthomonadaceae",2,0.000371092,"Other"
1,"glucose_glycine","Alcaligenaceae",3,0.000742184,"Other"
1,"glucose_glycine","Comamonadaceae",3,0.004916968,"Other"
1,"glucose_glycine","Moraxellaceae",3,0.001669914,"Other"
1,"glucose_glycine","Oxalobacteraceae",3,0.000278319,"Other"
1,"glucose_glycine","Paenibacillaceae",3,0.001298822,"Other"
1,"glucose_glycine","Rhizobiaceae",3,0.001113276,"Other"
1,"glucose_ribose","Aeromonadaceae",1,9.28e-05,"Other"
1,"glucose_ribose","Pseudomonadaceae",2,0.002041006,"Other"
1,"glucose_ribose","Moraxellaceae",3,9.28e-05,"Other"
1,"glucose_ribose","Pseudomonadaceae",3,0.001298822,"Other"
1,"glucose_ribose","Pseudomonadaceae",4,0.001298822,"Other"
1,"succinate_benzoate","Enterobacteriaceae",1,0.00371092,"Other"
1,"succinate_benzoate","Enterococcaceae",1,0.007421839,"Other"
1,"succinate_benzoate","Moraxellaceae",1,0.001113276,"Other"
1,"succinate_benzoate","Rhizobiaceae",1,0.000649411,"Other"
1,"succinate_benzoate","Sphingobacteriaceae",1,0.002875963,"Other"
1,"succinate_benzoate","Comamonadaceae",2,0.003154281,"Other"
1,"succinate_benzoate","Enterococcaceae",2,0.002133779,"Other"
1,"succinate_benzoate","Moraxellaceae",2,0.001762687,"Other"
1,"succinate_benzoate","Rhizobiaceae",2,0.000278319,"Other"
1,"succinate_benzoate","Enterococcaceae",3,0.00528806,"Other"
1,"succinate_benzoate","Moraxellaceae",3,0.002412098,"Other"
1,"succinate_benzoate","Rhizobiaceae",3,0.000185546,"Other"
1,"succinate_benzoate","Sphingobacteriaceae",3,9.28e-05,"Other"
1,"succinate_benzoate","Comamonadaceae",4,0.000278319,"Other"
