"Inoculum","Family","CS_duo","CS_type_duo","CS1","CS2","ab_obs_mean","ab_obs_se","ab_pred_mean","ab_pred_se","cs.ord"
2,"Pseudomonadaceae","succinate_benzoate","AA","succinate","benzoate",0.7549633545,0.0412358672915814,0.402038533875,0.0196706850908642,"benzoate"
2,"Pseudomonadaceae","succinate_cellobiose","SA","succinate","cellobiose",0.0690231005,0.0210859135889383,0.1105030364375,0.0105101591716981,"cellobiose"
2,"Pseudomonadaceae","succinate_fructose","SA","succinate","fructose",0.125545042,0.0154468352775372,0.1094774199375,0.0105068023816659,"fructose"
2,"Pseudomonadaceae","succinate_fumarate","AA","succinate","fumarate",0.36473698825,0.0972995529837632,0.485550825875,0.00650747024686385,"fumarate"
2,"Pseudomonadaceae","succinate_glutamine","AA","succinate","glutamine",0.299448001,0.0296691904114707,0.2075274775625,0.0122383270186835,"glutamine"
2,"Pseudomonadaceae","succinate_glycerol","SA","succinate","glycerol",0.02159291925,0.00949699425720173,0.117163469375,0.0109697465984068,"glycerol"
2,"Pseudomonadaceae","succinate_glycine","AA","succinate","glycine",0.249621177666667,0.0367934013189343,0.449007766583333,0.00714581377460388,"glycine"
2,"Pseudomonadaceae","succinate_ribose","SA","succinate","ribose",0.11710270025,0.00693498731105606,0.11158453175,0.0105728549337033,"ribose"
2,"Rhizobiaceae","glucose_benzoate","SA","glucose","benzoate",0.00067260425,0.00067260425,0.000148329125,3.12738381944977e-05,"benzoate"
2,"Rhizobiaceae","glucose_cellobiose","SS","glucose","cellobiose",0,0,0.000205303175,3.16927528418965e-05,"cellobiose"
2,"Rhizobiaceae","glucose_fructose","SS","glucose","fructose",0.00011596625,0.00011596625,0.00029524505,6.34580512972238e-05,"fructose"
2,"Rhizobiaceae","glucose_fumarate","SA","glucose","fumarate",0.0002319325,0.0002319325,0.0010844018125,0.000136562919690773,"fumarate"
2,"Rhizobiaceae","glucose_glutamine","SA","glucose","glutamine",0.00211058575,0.00052120346987435,0.1372601430625,0.00605470866836206,"glutamine"
2,"Rhizobiaceae","glucose_glycerol","SS","glucose","glycerol",0.00016235275,0.000109607023273583,5.82488375e-05,1.31000333749316e-05,"glycerol"
2,"Rhizobiaceae","glucose_glycine","SA","glucose","glycine",0.000587562333333333,0.000264217619821448,0.000221373333333333,4.56582449737264e-05,"glycine"
2,"Rhizobiaceae","glucose_ribose","SS","glucose","ribose",0.00011596625,0.00011596625,4.391580625e-05,1.13445009794374e-05,"ribose"
2,"Rhizobiaceae","succinate_benzoate","AA","succinate","benzoate",0.00287596275,0.00154637103062802,0.2248477788125,0.0102540686570748,"benzoate"
2,"Rhizobiaceae","succinate_cellobiose","SA","succinate","cellobiose",0.0004174785,0.000241031324355881,0.1660146103125,0.00436248424760811,"cellobiose"
2,"Rhizobiaceae","succinate_fructose","SA","succinate","fructose",0.00048705825,0.000308566122029886,0.1654255806875,0.00439076511823152,"fructose"
2,"Rhizobiaceae","succinate_fumarate","AA","succinate","fumarate",0.02008535125,0.00781429993115236,0.137222659875,0.0034328334368283,"fumarate"
2,"Rhizobiaceae","succinate_glutamine","AA","succinate","glutamine",0.19728175175,0.0432347738423697,0.296693301125,0.00932079105919569,"glutamine"
2,"Rhizobiaceae","succinate_glycerol","SA","succinate","glycerol",0.00025512575,0.000175105197515843,0.17777336225,0.00474457325251704,"glycerol"
2,"Rhizobiaceae","succinate_glycine","AA","succinate","glycine",0.062900083,0.0101772992606794,0.191731004416667,0.0064782628055636,"glycine"
2,"Rhizobiaceae","succinate_ribose","SA","succinate","ribose",0.00053344475,0.000371816082639741,0.1678568714375,0.00428168330784634,"ribose"
