exp_id,Family,Treatment,Replicate,variable,Abundance,Abundance_1,Abundance_2,Predicted_Abundance,q,q2,seed,S,Epsilon,Dominates
7913,F0,SA,SA,SA,0.847216969295722,0.513053978524222,0.758856986637185,0.635955482580703,0.25,0.15,77,200,0.211261486715019,1
7913,F1,SA,SA,SA,0.152783021940867,0.486946014017961,0.241142999060786,0.364044506539374,0.25,0.15,77,200,0.211261484598507,1
7914,F0,SA,SA,SA,0.590720820593157,0.180382755253787,0.840902541068777,0.510642648161283,0.35,0.15,77,200,0.080078172431874,1
7914,F1,SA,SA,SA,0.409279160437458,0.819617239429812,0.159097445044944,0.489357342237378,0.35,0.15,77,200,0.08007818179992,1
7915,F0,SA,SA,SA,0.778645787516645,0.99999999404501,0.447835616085097,0.723917805065053,0.45,0.15,77,200,-0.0547279824515921,-1
7915,F1,SA,SA,SA,0.22135420418353,0,0.552164369920696,0.276082184960348,0.45,0.15,77,200,-0.054727980776818,-1
7916,F0,SA,SA,SA,0.756986981312355,0.994115038119034,0.46572801138808,0.729921524753558,0.55,0.15,77,200,-0.027065456558797,-1
7916,F1,SA,SA,SA,0.243012986655905,0.00588494999127508,0.53427196709651,0.270078458543893,0.55,0.15,77,200,-0.027065471887988,-1
7917,F0,SA,SA,SA,0.985219097026369,0.999999987603455,0.951514929968325,0.97575745878589,0.65,0.15,77,200,-0.00946163824047897,-1
7917,F1,SA,SA,SA,0.0147808784219272,0,0.0484850561873769,0.0242425280936885,0.65,0.15,77,200,-0.0094616496717613,-1
7918,F0,SA,SA,SA,0.995335410824041,0.938739015990893,0.999999994694356,0.969369505342626,0.75,0.15,77,200,0.025965905481415,1
7918,F1,SA,SA,SA,0.00466457983708661,0.0612609761668524,0,0.0306304880834262,0.75,0.15,77,200,0.0259659082463396,1
7919,F0,SA,SA,SA,0.851907397651385,0.999999986931567,0.512270705586893,0.75613534625923,0.85,0.15,77,200,-0.0957720513921551,-1
7919,F1,SA,SA,SA,0.148092560010105,0,0.487729277659924,0.243864638829962,0.85,0.15,77,200,-0.095772078819857,-1
7920,F0,SA,SA,SA,0.941510080246193,0.999999978334982,0.495069199362248,0.747534588848616,0.95,0.15,77,200,-0.193975491397577,-1
7920,F1,SA,SA,SA,0.0584899032927478,0,0.504930786653354,0.252465393326677,0.95,0.15,77,200,-0.193975490033929,-1
7921,F0,SA,SA,SA,0.128901861384195,0.141213226502701,0.100572533103113,0.120892879802907,0.05,0.25,77,200,-0.00800898158128799,-1
7921,F1,SA,SA,SA,0.871098130290129,0.85878676315557,0.899427443668383,0.879107103411976,0.05,0.25,77,200,-0.00800897312184701,-1
7922,F0,SA,SA,SA,0.137479211682959,0.522896304836989,0.196520410371219,0.359708357604104,0.15,0.25,77,200,0.222229145921145,1
